id,elevation,ozone,NO2,azimuth,zenith,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B10,B11,B12,water_vapor,scene,incidence_azimuth,incidence_zenith,AOT_550
1,209,301,0.278,142.6,33.9,0.1729,0.1423,0.1268,0.1134,0.1258,0.1811,0.2081,0.1667,0.2066,0.0488,0.0015,0.1689,0.1207,1977,E,101.4,4.8,0.337
2,82,357,0.376,156.7,55.7,0.1468,0.1173,0.1008,0.1022,0.1043,0.1179,0.1213,0.1178,0.1331,0.12,0.0049,0.1583,0.1321,168,E,286,8.6,0.076
3,37,305,0.258,134.8,37.6,0.1228,0.092,0.0796,0.0467,0.0786,0.2297,0.2999,0.2784,0.341,0.0317,0.0011,0.1306,0.0446,4517,D,103.3,4.6,0.199
4,1574,309,0.145,163.2,66.4,0.1593,0.1556,0.1522,0.1601,0.1811,0.2024,0.2017,0.2253,0.237,0.125,0.0027,0.2336,0.1582,361,E,137.3,3.2,0.012
5,52,294,0.359,155.8,61.3,0.4497,0.448,0.4264,0.4616,0.4761,0.4904,0.4965,0.4972,0.504,0.3016,0.0171,0.458,0.3912,498,I,270.3,4.9,0.26
6,1040,253,0.143,41,50.8,0.1651,0.1653,0.1779,0.2088,0.2129,0.2331,0.2306,0.2389,0.2543,0.0975,0.0018,0.3082,0.2771,919,E,101.5,6.4,0.058
7,976,305,0.18,146.1,33,0.178,0.1514,0.1487,0.1639,0.1716,0.189,0.2005,0.1833,0.2122,0.0747,0.0014,0.2416,0.1953,1517,E,157,2.9,0.107
8,491,365,0.248,156.1,47.2,0.1315,0.1044,0.0966,0.0688,0.1307,0.3286,0.4067,0.4038,0.4352,0.2138,0.0025,0.1948,0.0925,501,D,184.3,2.8,0.158
9,33,322,0.45,174.7,72.1,0.1598,0.123,0.0934,0.0717,0.1059,0.1931,0.2138,0.2179,0.2446,0.0836,0.002,0.1451,0.0814,709,D,288.3,8.5,0.115
10,174,325,0.208,168.8,38.8,0.1504,0.1283,0.1088,0.093,0.1196,0.1628,0.1722,0.1591,0.1764,0.0368,0.0017,0.1671,0.1293,2232,E,176.3,2.8,0.241
11,225,322,0.342,167.3,72.2,0.1828,0.1512,0.1091,0.0949,0.0839,0.0911,0.088,0.0793,0.0749,0.0319,0.0018,0.07,0.0602,684,B,221.4,3.3,0.122
12,-32,286,0.191,153.8,60.4,0.2155,0.2156,0.2404,0.2987,0.3265,0.3517,0.3755,0.3651,0.3833,0.204,0.0043,0.4241,0.3738,350,E,228.2,3.5,0.01
13,2232,306,0.175,141.4,28.6,0.121,0.1012,0.1011,0.0918,0.1337,0.2263,0.2649,0.2665,0.2881,0.1234,0.0019,0.253,0.1597,933,D,104.1,5.7,0.05
